id,firstName,lastName,adp,projectedPoints,positionRank,slotName,teamName,lineupStatus,byeWeek
5b69b735-83fc-4d6a-9091-ea97223f2ad2,Christian,McCaffrey,1.1,21.2,RB1,RB,San Francisco 49ers,,
6c4af7e7-adcb-4946-8e50-68c27f2b8d9c,Jahmyr,Gibbs,2.3,19.7,RB2,RB,Detroit Lions,,
0664c44b-4e70-404f-b43e-5ce6a2305618,Jaxon,Smith-Njigba,3.7,19.3,WR1,WR,Seattle Seahawks,,
81a2d473-66c9-4d25-b686-2e511e1ced1a,James,Cook,3.7,15.9,RB3,RB,Buffalo Bills,,
a6962ec0-a9f1-43cc-afe3-e5292f2ed850,Puka,Nacua,6.3,19.5,WR2,WR,Los Angeles Rams,QUESTIONABLE,
9586bf56-a08f-4ce2-b0e5-3609ee544008,De'Von,Achane,6.8,17.2,RB4,RB,Miami Dolphins,,
3c731cb7-b8d4-4928-a6bb-f261010ffd85,Rico,Dowdle,7.1,16.3,RB5,RB,Carolina Panthers,,
be671f50-beff-42c4-b868-12a0033b9608,Amon-Ra,St. Brown,8.3,18.1,WR3,WR,Detroit Lions,,
553d38bf-e105-4cca-993d-524b50a99b6e,Derrick,Henry,9.6,15.4,RB6,RB,Baltimore Ravens,,
cbe6e043-e5e8-4569-bb08-396058a2589e,Lamar,Jackson,10.8,23.7,QB1,QB,Baltimore Ravens,,
0a3e00d8-5873-4731-b3e3-ab027ddd6ee8,Kyren,Williams,11.6,15.3,RB7,RB,Los Angeles Rams,,
03d2c104-f57c-4d7b-83fd-6b1f7aad2652,Justin,Jefferson,11.7,14.1,WR4,WR,Minnesota Vikings,,
e6d89d21-0c25-4a44-ae25-ba5c9b7a799c,Josh,Allen,12.4,23.9,QB2,QB,Buffalo Bills,,
170dde6b-5e39-43bf-9a67-0c5a097ede09,Davante,Adams,14.4,12.9,WR5,WR,Los Angeles Rams,,
7bbcc9d7-ca2f-4ed7-8a28-0f2f3b1f9d34,Trey,McBride,14.9,12.6,TE1,TE,Arizona Cardinals,,
6bc67521-c96a-4358-93fe-523dfb8b8cea,Emeka,Egbuka,15.6,12,WR6,WR,Tampa Bay Buccaneers,,
b51443d5-afb0-4469-a735-35d04621e25c,Bucky,Irving,17.5,14.3,RB8,RB,Tampa Bay Buccaneers,QUESTIONABLE,
4bc200ab-650a-43d5-835a-e30b4b9ed553,Quinshon,Judkins,18.3,13.2,RB9,RB,Cleveland Browns,QUESTIONABLE,
40602f4d-bf74-496a-98a3-c883b87e0a27,Nico,Collins,18.6,13.4,WR7,WR,Houston Texans,,
7c325155-795e-4474-9a62-859b27fbdc3a,Breece,Hall,20.9,13,RB10,RB,New York Jets,,
023693c8-dae8-434a-9533-69496b6c4500,George,Kittle,21.9,11.9,TE2,TE,San Francisco 49ers,,
ad9d889c-775c-41ab-97db-acbb2b9136fb,Zay,Flowers,23.6,12.5,WR8,WR,Baltimore Ravens,,
4bc1f772-d4ae-4599-a049-6951356bdb71,Jaylen,Waddle,25.1,12.3,WR9,WR,Miami Dolphins,,
5083442c-a234-4eb8-8d41-3608ca152a0e,Jaxson,Dart,25.7,22,QB3,QB,New York Giants,,
22140765-0f10-4ceb-9655-d23d04f9b566,Rome,Odunze,25.9,10.4,WR10,WR,Chicago Bears,,
547b0ff4-4bcc-4232-9b72-fc9853d33531,Kyle,Monangai,25.9,8.6,RB11,RB,Chicago Bears,,
d1dc4b65-713e-4929-a595-131fc731ce88,D'Andre,Swift,27.1,11.9,RB12,RB,Chicago Bears,QUESTIONABLE,
